PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,SHRENDDT,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,ALTPRC,SPREAD,ALTPRCDT,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
59408,20050930,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20051030,41.6,43.68,42.1,2829977,-0.021613,42.11,42.14,4017928,1,1,42.1,,20050930,-0.021613,0.010606,0.009337,0.01053,0.009013,0.006949
59408,20051031,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20051129,41.57,43.98,43.74,2771837,0.038955,43.74,43.76,4013063,1,1,43.74,,20051031,0.038955,-0.020877,-0.021985,-0.033876,-0.035031,-0.017741
59408,20051130,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,20051026,20051223,20051202,0,,,1232,0.5,0,0,,,20051229,43.62,46.99,45.89,2647368,0.060585,45.89,45.91,4016081,1,1,45.89,,20051130,0.049154,0.040329,0.038077,0.034319,0.032775,0.035186
59408,20051230,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20060130,45.74,46.97,46.15,2434156,0.005666,46.08,46.11,4016081,1,1,46.15,,20051230,0.005666,0.003456,0.001885,0.013484,0.011157,-0.000952
59408,20060131,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20060227,43.96,47.08,44.23,3109429,-0.041604,44.2,44.22,3999688,1,1,44.23,,20060131,-0.041604,0.040033,0.038927,0.076354,0.07515,0.025467
59408,20060228,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20060330,43.09,45.98,45.85,2668970,0.036627,45.84,45.86,4628360,1,1,45.85,,20060228,0.036627,-0.00164,-0.003554,0.004836,0.003476,0.000453
59408,20060331,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,20060125,20060324,20060303,0,,,1232,0.5,0,0,,,20060427,45.15,46.99,45.54,2922484,0.004144,45.52,45.6,4648802,1,1,45.54,,20060331,-0.006761,0.019053,0.017585,0.036978,0.035232,0.011065
59408,20060428,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20060530,45.48,49.92,49.92,2600682,0.096179,49.91,49.92,4600000,1,1,49.92,,20060428,0.096179,0.012964,0.011494,0.009791,0.008497,0.012187
59408,20060531,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,20060426,20060623,20060602,0,,,1232,0.5,0,0,,,20060629,48.12,50.47,48.4,3252377,-0.020433,48.38,48.4,4563502,1,1,48.4,,20060531,-0.030449,-0.031045,-0.033025,-0.044331,-0.045982,-0.030917
59408,20060630,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20060730,46.64,49.26,48.1,3100115,-0.006198,48.02,48.03,4563502,1,1,48.1,,20060630,-0.006198,-0.000386,-0.001881,-0.008479,-0.010474,0.000087
